Compound,geo1,geo2,geo3,meja1,meja2,meja3,meja4,con1,con2,con3,con4
Benzene,65935.7,51056.4,,16025.1,21105.4,19580.7,21981.9,23227.6,16373.2,,16275.4
"2-Pentenal, (E)-",2549.2,6658.5,15295.1,1997.5,1413.8,1252.8,1265.6,1026.7,1786.9,1459.2,1321.7
Pyridine,4482.7,39631.8,43290.8,23652.4,31628.1,35949.6,15006.7,49999.6,35725,39901.9,44040.6
Toluene,44749.8,68605.4,42980.9,35388.6,36614.9,39675,37923.7,91450,61221.7,81647,116003.7
"2-Buten-1-ol, 2-methyl-",,6990,3401.1,,,,,,,,
Tiglic aldehyde,,57125.1,66260.2,63866.7,82522.9,67259.3,72281.4,68608.1,78934.2,62185.3,62087
"2-Butenal, 3-methyl-",,55768.6,65545.5,63866.7,82768.4,65710.1,72281.4,65876.2,77250.8,59985.5,61823.4
"Heptane, 3-methylene-",36055.8,30688.6,10139.1,22378.8,29819.1,29668.8,22508.5,,,,
"3-Octene, (Z)-",17137.6,38929.6,20176,119487,27334.9,23238.1,23409.5,,,,
Butanoic acid,,39438.8,37935.4,40651.1,37678.3,48771.1,43072.7,,39268.2,20048.2,43755.2
"3-Penten-2-one, 4-methyl-",,27269.6,13175.3,16364.2,19960.7,19104.5,21350.3,35228.7,20037.6,17945.8,19577.9
Hexanal,25715.9,33852.6,19656.6,26933,32455.4,26892.5,26129,14117.3,13586.4,15973.7,26819.5
"2-Hexene, 3,5-dimethyl",10013,8145.6,2938.6,6170.6,9041.1,8286.9,6873,,,,
3-Furaldehyde,,8558.7,13810.9,7555.3,7692,7337.4,7640.7,14273.3,10897.3,9914.2,9896.3
Isovaleric acid,,69038.6,8903.1,25573.6,29098.5,27205.3,36060.5,,,,
Furfural,5135,84763.5,169151.6,69478,64413.9,48480.2,82000.1,114159.9,102827.6,127296.5,75810.6
Hexenal<2E->,,2576.3,2145.3,2963.7,3222,3794,3150.6,,,,
Hexenol<3Z->,,,,,,,22324.7,,9284.8,9090.1,22610.3
2-Furanmethanol,,4912.7,32906.5,15419.3,12374.9,10722.4,13849.3,30668.9,20779.9,26553,23000.8
Ethylbenzene,,10722.7,10528,11845.3,12831.7,11745.4,11311.4,15869.3,14392.7,14111.7,42258.8
m-xylene,,13920.8,14525.8,13404.8,15894.1,15566.4,13349.5,22433,18769.3,18618.9,23084.5
p-xylene,,14194.6,15986.3,16300.9,17034.9,16123.4,16174.1,22844.8,19089.5,20336.4,28122.5
Hexanol<N->,1553.8,5904.6,5410,4950.3,7000.7,5586.6,4485.2,4456.2,4511.9,4771.8,5368.4
3-Heptanone,,6792.2,5071.3,5407.6,7104.5,6644.3,4910,8872.4,6651.5,8079.3,5090.1
Heptanone<2->,,14524.3,2731.2,5853.7,6817.6,6780.1,4484.5,,,,
o-Xylene,,6634.8,6466.1,6558.7,7170.8,6550.4,6711.6,8614.3,8387.6,8438.8,10855.4
Styrene,1027.1,24781.9,23011.3,18622.2,20613,21258.2,23513.9,32345,22998,26268,24417
Cyclohexanone,,5214.6,5704.6,5146.4,5201.5,4461.9,5213.5,8752.8,9645.4,7600.3,8227.8
"1,5-Heptadiene, 2,6-dimethyl",,6417.8,4430.3,6435.4,4604.1,6001.5,5204.4,7373.5,6901,6265.1,8629.3
Pentanoic acid,22878.9,50604.7,62298.2,101295.4,114551.8,25881.2,87768.5,9364.8,89363.2,14421.9,174210.7
Heptanal,2711.7,26699.1,14907,22607.3,26491.8,24078.1,20356.2,19277.6,16990.8,23038.3,29747.3
Acetylfuran<2->,,,,3574.6,3791.3,2938.5,4520.5,6449.3,4402,5619.1,5345.6
Hydroxybutanoic acid lactone<4->,,7644.7,8262.7,4035.2,3576.8,3630.1,3905.9,7690.9,6632.4,6553.1,7801
2(5H)-Furanone,8173,43430.2,55273.6,28018.7,27906,23316.2,31986.6,48938,43415.9,42246.7,39507.7
Pinene<alpha->,2444.3,4508.6,4771.4,3258.5,2717.7,3035,4376.4,4619.9,3869.6,6008.2,4067.4
Heptan-2-ol<6-methyl->,,2754.3,3175.2,3972.4,3164,3549.1,3236.7,4419.2,4208.2,3349.7,4097.6
Benzaldehyde,4660.3,61402.6,71209.5,78067.3,61735.1,56419.3,68934.4,93607.8,89201.8,90802.6,102189.8
"Benzene, 1-ethyl-4-methyl-",,2484.9,7222.6,6907.2,7308.3,7264.3,7869.1,12547.5,10496.3,12057.8,12655.3
