Plant,Distance,Chem,RPA
left,0,methyl.hexanoate,0.007284907
left,0,methyl.hexanoate,0.007912543
left,0,methyl.hexanoate,0.007040536
left,50,ethyl.valerate,0.001392424
left,50,ethyl.valerate,0
left,50,ethyl.valerate,0
left,100,amyl.acetate,0.005017667
left,100,amyl.acetate,0.004061048
left,100,amyl.acetate,0.005343776
left,150,isoamyl.acetate,0.007048299
left,150,isoamyl.acetate,0.001710002
left,150,isoamyl.acetate,0
left,200,4.methyl.2.pentanol,0.025885726
left,200,4.methyl.2.pentanol,0.014037945
left,200,4.methyl.2.pentanol,0
right,0,4.methyl.2.pentanol,0.021855327
right,0,4.methyl.2.pentanol,0.003494898
right,0,4.methyl.2.pentanol,0.004489147
right,50,isoamyl.acetate,0.004628204
right,50,isoamyl.acetate,0
right,50,isoamyl.acetate,0.002812797
right,100,amyl.acetate,0.003813472
right,100,amyl.acetate,0.002711965
right,100,amyl.acetate,0.005753123
right,150,ethyl.valerate,0
right,150,ethyl.valerate,0
right,150,ethyl.valerate,0
right,200,methyl.hexanoate,0.006337435
right,200,methyl.hexanoate,0.005306394
right,200,methyl.hexanoate,0.006162861
