IA_Name,Common_Name,CAS,CSID,Compound_Class,Log_P,Vapor_Pressure,Vapor_Pressure_At,FooDB_Odors,FooDB_Odor_Family
"2-Pentenal, (E)-",(E)-2-Pentenal,1576-87-0,4516892,NA,1.04,11.5,25°C,"strawberry, fruit, tomato, pungent, green, fruity, apple, orange","fruity, vegetable, green, citrus"
Pyrrole,NA,109-97-7,NA,NA,NA,NA,NA,"sweet, warm, nutty, ethereal","balsamic, nutty"
1-Hydroxy-2-butanone,2-Oxobutanol,5077-67-8,454721,Alpha-hydroxy ketones,NA,0.9,25°C,"sweet, coffee, musty, grain, malt, butterscotch","balsamic, earthy"
"Pentanal, 2-methyl-",2-Methylpentanal,123-15-9,28985,NA,1.78,16.9,25°C,"ethereal, fruity, green","fruity, green"
Toluene,Toluene,108-88-3,1108,Toluenes,2.68,27.7,25°C,"paint, sweet",balsamic
Pentanol,pentanol,71-41-0,6040,Primary alcohols,1.41,2.8,25°C,"balsamic, sweet, vanilla, fusel, oil, balsam",balsamic
new 8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentenol<2Z->,2-Penten-1-ol,1576-95-0,14569,NA,1.22,2.4,25°C,"green, plastic, rubber, ethereal, fruity","green, chemical, fruity"
"2-Buten-1-ol, 2-methyl-",2-Methyl-2-buten-1-ol,4675-87-0,21105961,NA,1.24,2.4,25°C,"green, oily","green, fatty"
Tiglic aldehyde,2-Methyl-2-butenal,497-03-0,9912,Enals,1.07,17.1,25°C,"strong, green, fruit",green
Buten-1-ol<3-methyl-2->,Prenol,556-82-1,10700,NA,1.24,2.4,25°C,"herb, fruity, green, lavender","fruity, green, floral"
"2,4-Pentanedione","2,4-Pentandione",123-54-6,29001,Beta-diketones,0.34,6.7,25°C,NA,NA
"2-Pentanol, 3-ethyl-2-methyl-",3-Ethyl-2-methyl-2-pentanol,19780-63-3,453326,NA,2.45,1.0,25°C,NA,NA
134,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Butenal, 3-methyl-",3-Methyl-2-butenal,107-86-8,54980,Enals,1.07,8.3,25°C,"sweet, fruity, pungent, brown, nutty, almond, cherry","balsamic, fruity, nutty"
Butanoic acid,Butanoic acid,107-92-6,259,Straight chain fatty acids,0.78,1.4,25°C,"rancid, cheese, sweat, sharp, acetic, butter, fruit",fatty
